"locus_name","accession","tissue","timepoint","expression_value"
"BRAA09G045310.3C","Col0","apex",8,0
"BRAA09G045310.3C","Col0","apex",9,0.135942510885054
"BRAA09G045310.3C","Col0","apex",10,0.138168436371995
"BRAA09G045310.3C","Col0","apex",11,0.144742523007741
"BRAA09G045310.3C","Col0","apex",12,0.0269822692422395
"BRAA09G045310.3C","Col0","apex",13,0.0287379265870059
"BRAA09G045310.3C","Col0","apex",14,1.89356639016441
"BRAA09G045310.3C","Col0","apex",15,108.178314277389
"BRAA09G045310.3C","Col0","apex",16,105.989850411704
"BRAA03G051930.3C","Col0","apex",7,76.9047352005846
"BRAA03G051930.3C","Col0","apex",8,88.053576672224
"BRAA03G051930.3C","Col0","apex",9,108.569728472728
"BRAA03G051930.3C","Col0","apex",10,143.129852507439
"BRAA03G051930.3C","Col0","apex",11,161.911857117534
"BRAA03G051930.3C","Col0","apex",12,154.24616915383
"BRAA03G051930.3C","Col0","apex",13,144.659897823316
"BRAA03G051930.3C","Col0","apex",14,113.994921208859
"BRAA03G051930.3C","Col0","apex",15,63.6246711927852
"BRAA03G051930.3C","Col0","apex",16,45.9660104201782
"BRAA02G043220.3C","Col0","apex",7,11.7317538698843
"BRAA02G043220.3C","Col0","apex",8,14.4396884040298
"BRAA02G043220.3C","Col0","apex",9,13.072871681173
"BRAA02G043220.3C","Col0","apex",10,10.8299943628652
"BRAA02G043220.3C","Col0","apex",11,17.2015647286165
"BRAA02G043220.3C","Col0","apex",12,20.7600381529911
"BRAA02G043220.3C","Col0","apex",13,36.4484376019433
"BRAA02G043220.3C","Col0","apex",14,37.9952299678324
"BRAA02G043220.3C","Col0","apex",15,78.3052102269145
"BRAA02G043220.3C","Col0","apex",16,58.3672373565345
"BRAA06G025360.3C","Col0","apex",7,11.7317538698843
"BRAA06G025360.3C","Col0","apex",8,14.4396884040298
"BRAA06G025360.3C","Col0","apex",9,13.072871681173
"BRAA06G025360.3C","Col0","apex",10,10.8299943628652
"BRAA06G025360.3C","Col0","apex",11,17.2015647286165
"BRAA06G025360.3C","Col0","apex",12,20.7600381529911
"BRAA06G025360.3C","Col0","apex",13,36.4484376019433
"BRAA06G025360.3C","Col0","apex",14,37.9952299678324
"BRAA06G025360.3C","Col0","apex",15,78.3052102269145
"BRAA06G025360.3C","Col0","apex",16,58.3672373565345
